id,question_number,topic,question_text,exam_year,exam_month,exam_number
29,"29","Maniobra y navegación","Para amarrarnos a una boya, se recomienda:","2020","12","01"
30,"30","Emergencias en la mar","El Instituto Social de la Marina recomienda realizar las consultas al Centro Radio Médico Español no urgentes o de control en el siguiente horario:","2020","12","01"
31,"31","Emergencias en la mar","¿Qué medida resulta contraproducente en un abordaje?","2020","12","01"
32,"32","Emergencias en la mar","La salida de sangre por venas o arterias es:","2020","12","01"
33,"33","Meteorología","¿Qué es el viento relativo?","2020","12","01"
34,"34","Meteorología","¿Cuál de las siguientes afirmaciones relativas a las borrascas es FALSA?","2020","12","01"
35,"35","Meteorología","¿Qué es el fetch?","2020","12","01"
36,"36","Meteorología","Los centros de la Sociedad Estatal de Salvamento y Seguridad Marítima emiten los boletines meteorológicos para las zonas costeras previo anuncio en:","2020","12","01"
37,"37","Teoría de la navegación","¿Cómo se miden las marcaciones?","2020","12","01"
38,"38","Teoría de la navegación","¿Qué instrumento utilizamos para medir la distancia navegada y la velocidad en una embarcación?","2020","12","01"
39,"39","Teoría de la navegación","¿Qué tres características, las cuales se combinan entre ellas, tienen las luces de ayuda a la navegación?","2020","12","01"
40,"40","Teoría de la navegación","Señale cuál de las siguientes afirmaciones es CORRECTA:","2020","12","01"
41,"41","Teoría de la navegación","¿Dónde podemos encontrar la tablilla de desvíos?","2020","12","01"
42,"42","Carta de navegación","Navegando al rumbo de aguja 081º, a la Hrb 13:00 horas se obtiene marcación del faro de Punta Cires de 004º por estribor al mismo tiempo que se tiene por el través el faro de Isla de Tarifa. Calcular la situación verdadera de la embarcación con una corrección total de 4º (-).","2020","12","01"
43,"43","Carta de navegación","Situados a las 0606 HRB en la oposición del faro de Punta de Gracia y del faro de Cabo Espartel y a una distancia de 6 millas del faro de Punta de Gracia, navegamos con un rumbo de aguja de 252,5º. Siendo la corrección total = 6º(-) y la velocidad de 7 nudos, hallar nuestra situación estimada a las 0830 HRB.","2020","12","01"
44,"44","Carta de navegación","Obtener la situación verdadera de una embarcación que se encuentra en la oposición de los faros de Punta Almina y Cabo Negro y una distancia de 4,8 millas de este último.","2020","12","01"
45,"45","Carta de navegación","Calcular el rumbo de aguja (Ra) desde la situación con demora verdadera = 283° y distancia = 3,2 millas al faro de Punta Carnero hasta la situación de la luz roja del puerto de Algeciras, siendo la corrección total = -2°.","2020","12","01"
46,"1","Nomenclatura náutica","¿Cuántas uñas tiene el ancla de Danforth?","2020","12","04"
47,"2","Nomenclatura náutica","Las defensas se colocan:","2020","12","04"
48,"3","Nomenclatura náutica","¿Qué nombre recibe el eje giratorio del timón?","2020","12","04"
49,"4","Nomenclatura náutica","¿Qué son los guardines?","2020","12","04"
50,"5","Elementos de amarre y fondeo","¿Para qué se utilizan las cornamusas generalmente?","2020","12","04"
51,"6","Elementos de amarre y fondeo","¿Cuál es la longitud mínima de cadena a filar?","2020","12","04"
52,"7","Seguridad","¿De qué color es la nube de humo producida por las señales fumígenas flotantes?","2020","12","04"
53,"8","Seguridad","Señale la respuesta incorrecta. El periodo de cabezada...","2020","12","04"
54,"9","Seguridad","La estabilidad transversal:","2020","12","04"
55,"10","Seguridad","Definición de cabezada:","2020","12","04"
56,"11","Legislación","En las infracciones por contaminación del medio marino quedarán obligados a reparar el daño causado:","2020","12","04"
57,"12","Legislación","Las embarcaciones deportivas o de recreo autorizadas para un máximo de doce pasajeros, con base en un puerto español, realizarán la notificación reducida de desechos, del Anexo V, del Real Decreto 1381/2002, de 20 de diciembre, con la siguiente periodicidad:","2020","12","04"
58,"13","Balizamiento","Las Marcas de Peligro Aislado son:","2020","12","04"
59,"14","Balizamiento","¿Qué forma tienen las marcas especiales?","2020","12","04"
60,"15","Balizamiento","La marca cardinal norte es una boya de castillete o espeque pintada de:","2020","12","04"
61,"16","Balizamiento","El color de las marcas para indicar las zonas reservadas al recreo es:","2020","12","04"
62,"17","Balizamiento","En el punto de bifurcación de un canal, la marca a emplear para indicar el canal principal es:","2020","12","04"
63,"18","Reglamento (RIPA)","¿Cabe la certeza de que únicamente cumpliendo las disposiciones del RIPA estaremos exentos de responsabilidad ante un abordaje?","2020","12","04"
64,"19","Reglamento (RIPA)","Según la Regla 5 del RIPA, todos los buques mantendrán en todo momento una eficaz vigilancia visual y auditiva, utilizando asimismo todos los medios disponibles que sean apropiados a las circunstancias y condiciones del momento, para evaluar plenamente la situación y el riesgo de abordaje. Esta regla es de aplicación:","2020","12","04"
65,"20","Reglamento (RIPA)","A tenor de la regla 17 del RIPA, cuando uno de los dos buques deba mantenerse apartado de la derrota del otro, este último mantendrá su rumbo y velocidad:","2020","12","04"
66,"21","Reglamento (RIPA)","¿Cuándo se utilizarán las señales prescritas en el anexo IV del Reglamento Internacional para prevenir los abordajes?","2020","12","04"
67,"22","Reglamento (RIPA)","Según las definciones que aparecen en el RIPA, ¿qué entendemos por un buque de vela?","2020","12","04"
68,"23","Reglamento (RIPA)","Los buques que naveguen a lo largo de un canal angosto:","2020","12","04"
69,"24","Reglamento (RIPA)","Si navegando de noche observamos por la proa la luz de tope y las dos de costado de otro buque, estaremos ante una situación de:","2020","12","04"
70,"25","Reglamento (RIPA)","Cuando un buque esté en peligro y requiera ayuda, utilizará o exhibirá las señales descritas en el RIPA. Diga cuál de las respuestas propuestas no se encuentra en dicho reglamento:","2020","12","04"
71,"26","Reglamento (RIPA)","Podrán utillizar la zona de navegación costera adyacente a un dispositivo de separación de tráfico, en lugar de la vía de circulación de dicho dispositivo:","2020","12","04"
72,"27","Reglamento (RIPA)","La ""luz todo horizonte"" es:","2020","12","04"
73,"28","Maniobra y navegación","Una codera se da a un muerto desde:","2020","12","04"
74,"29","Maniobra y navegación","Para atracar de costado a un muelle es mucho más fácil hacerlo:","2020","12","04"
75,"30","Emergencias en la mar","El agua es el agente extintor más abundante, ¿Cuál de las siguientes afirmaciones no es cierta?","2020","12","04"
76,"31","Emergencias en la mar","El agua es el agente extintor más abundante, ¿cuál de las siguientes afirmaciones NO es cierta?","2020","12","04"
77,"32","Emergencias en la mar","¿Con qué tipo de fuegos podemos usar el agua como agente extintor?","2020","12","04"
78,"33","Meteorología","La escala de Douglas se utiliza para:","2020","12","04"
79,"34","Meteorología","En España, el Organismo que se encarga de elaborar la informacion meterorológica es:","2020","12","04"
80,"35","Meteorología","¿Cuál de las siguientes afirmaciones relativas a la temperatura es FALSA?","2020","12","04"
81,"36","Meteorología","La temperatura en meteorología se define como:","2020","12","04"
82,"37","Teoría de la navegación","La hora que marca el reloj de a bordo se llama:","2020","12","04"
83,"38","Teoría de la navegación","Señale cuál de las siguientes afirmaciones NO es correcta:","2020","12","04"
84,"39","Teoría de la navegación","A efectos de cálculos llamamos abatimiento al ángulo formado entre:","2020","12","04"
85,"40","Teoría de la navegación","¿Es posible actualizar el valor de la declinación magnética?","2020","12","04"
86,"41","Teoría de la navegación","¿Cuál de los siguientes datos NO se utiliza en la actualización de la declinación magnética?","2020","12","04"
87,"42","Carta de navegación","Estando situados en la luz roja del Puerto de Ceuta, ponemos rumbo para pasar a 5,2 millas del faro de Punta Europa, dejándolo a poniente. Hallar el rumbo de aguja si el desvío es 1,5º E y la declinación magnética es la de la carta para el año 2008.","2020","12","04"
88,"43","Carta de navegación","Calcular la situación verdadera de una embarcación que se sitúa a 2,2 millas náuticas del faro del dique del puerto de Tánger en la línea isobática de 50 metros, que observa la luz blanca del faro (de ocultaciones) de El Xarf.","2020","12","04"
89,"44","Carta de navegación","Obtener la situación verdadera de una embarcación que se encuentra en la oposición de los faros de Punta Almina y Cabo Negro y una distancia de 4,8 millas de este último.","2020","12","04"
90,"45","Carta de navegación","¿Qué situación tendremos si, navegando al Rumbo verdadero S 32 E, obtenemos simultáneamente marcación del faro de Punta Alcazar 30º babor y marcación del faro de Punta Malabata 65º estribor?","2020","12","04"
91,"1","Nomenclatura náutica","Se dice que el ancla está a la pendura cuando:","2020","12","05"
92,"2","Nomenclatura náutica","En relación a los grifos de fondo, señale la respuesta CORRECTA :","2020","12","05"
93,"3","Nomenclatura náutica","Son partes del aparato de gobierno:","2020","12","05"
94,"4","Nomenclatura náutica","Al elemento cuya función es producir el empuje de la embarcación mediante su giro se le denomina:","2020","12","05"
95,"5","Elementos de amarre y fondeo","¿Qué es una gaza?","2020","12","05"
96,"6","Elementos de amarre y fondeo","¿Para qué se utilizan las cornamusas generalmente?","2020","12","05"
97,"7","Seguridad","¿Cuál de las siguientes medidas NO es recomendable en el caso de tratar a un afectado por hipotermia?","2020","12","05"
98,"8","Seguridad","En caso de Hombre al Agua, ¿qué objetos podremos lanzar al agua?","2020","12","05"
99,"9","Seguridad","¿Cuál de los siguientes métodos NO es válido para contactar con Salvamento Marítimo?","2020","12","05"
100,"10","Seguridad","¿Cuál de las siguientes maniobras NO es aplicable como actuación inmediata en caso de hombre al agua?","2020","12","05"
101,"11","Legislación","Las embarcaciones deportivas en el interior de los puertos y sus canales de acceso:","2020","12","05"
102,"12","Legislación","En caso de abordaje, cuando sea culpable una embarcación deportiva o de recreo, la obligación de indemnizar los daños y perjuicios causados al otro, recaerá:","2020","12","05"
103,"13","Balizamiento","Para indicar una zona de vertedero utilizaremos:","2020","12","05"
104,"14","Balizamiento","Las marcas especiales son de color:","2020","12","05"
105,"15","Balizamiento","La marca de tope de una ""Marca de Peligro Aislado"" es:","2020","12","05"
106,"16","Balizamiento","La marca de tope de las Marcas de Aguas Navegables será:","2020","12","05"
107,"17","Balizamiento","En el punto de bifurcación de un canal, siguiendo el sentido convencional del balizamiento, se puede indicar el canal principal mediante una marca lateral modificada de la siguiente manera:","2020","12","05"
108,"18","Reglamento (RIPA)","De acuerdo con la Regla 27.e del RIPA, un buque de pequeñas dimensiones dedicado a operaciones de buceo exhibirá en el lugar más visible:","2020","12","05"
109,"19","Reglamento (RIPA)","Según la Regla 18.c, en la medida de lo posible, los buques dedicados a la pesca, en navegación, se mantendrán apartados de la derrota de:","2020","12","05"
110,"20","Reglamento (RIPA)","De acuerdo con la Regla 27.a del RIPA, los buques sin gobierno exhibirán:","2020","12","05"
111,"21","Reglamento (RIPA)","De acuerdo con la Regla 21.b del RIPA, las ""luces de costado"" son:","2020","12","05"
112,"22","Reglamento (RIPA)","Conforme a la Regla 3 del RIPA la expresión ""buque dedicado a la pesca"" corresponde a:","2020","12","05"
113,"23","Reglamento (RIPA)","Según la Regla 24.g del RIPA, todo buque u objeto remolcado, poco visible y parcialmente sumergido y toda combinación de buques u objetos en los que se den esas mismas circunstancias, cuando su anchura sea igual o superior a 25 metros, exhibirá:","2020","12","05"
114,"24","Reglamento (RIPA)","Segun la Regla 9 del RIPA los buques que naveguen a lo largo de un paso o canal angosto se mantendrán:","2020","12","05"
115,"25","Reglamento (RIPA)","Según la Regla 32.b del RIPA, la expresión «pitada corta» significa un sonido de una duración aproximada de:","2020","12","05"
116,"26","Reglamento (RIPA)","Conforme a la regla 19 del RIPA, un buque que, con riesgo de abordaje, no pueda evitar la situación de aproximación excesiva con otro buque situado a proa de su través, debe:","2020","12","05"
117,"27","Reglamento (RIPA)","De acuerdo a la Regla 15 del RIPA, ""Situación de cruce"", cuando dos buques de propulsión mecánica se crucen con riesgo de abordaje, el buque que tenga al otro por su costado de estribor:","2020","12","05"
118,"28","Maniobra y navegación","La acción de dar una o varias vueltas a un cabo, cable o alambre, sobre una bita, cornamusa, barandilla, pasamanos o cualquier otro elemento de amarre, al objeto de sujetarlo y no tener que soportar toda la tensión del cabo directamente sobre la mano, se le denomina:","2020","12","05"
119,"29","Maniobra y navegación","El ángulo formado por el rumbo verdadero (dirección de la proa) y el rumbo de superficie, se denomina:","2020","12","05"
120,"30","Emergencias en la mar","Para medir la extensión de una quemadura de un adulto, se puede considerar que la palma de la mano representa:","2020","12","05"
121,"31","Emergencias en la mar","Tras varar una embarcación en las rocas, la primera comprobación que se llevará a cabo será:","2020","12","05"
122,"32","Emergencias en la mar","El lanzamiento de señales pirotécnicas debemos realizarlo por:","2020","12","05"
123,"33","Meteorología","La escala centígrada es una escala de temperatura que asigna el valor cero (0ºC) al agua en proceso de:","2020","12","05"
124,"34","Meteorología","Se define como línea isobara, la línea que une puntos con igual valor de la presión:","2020","12","05"
125,"35","Meteorología","El virazón o brisa marina se produce en:","2020","12","05"
126,"36","Meteorología","Navegando a 4 nudos por la Ría de Vigo, dejamos de notar el viento aparente (viento aparente igual a 0 nudos), esto significa que:","2020","12","05"
127,"37","Teoría de la navegación","¿Qué es el Desvío?","2020","12","05"
128,"38","Teoría de la navegación","¿Para qué utilizamos la corredera?","2020","12","05"
129,"39","Teoría de la navegación","¿Cómo se le denomina al ángulo formado por el meridiano magnético y el meridiano geográfico?","2020","12","05"
130,"40","Teoría de la navegación","En relación a la forma de medir los rumbos:","2020","12","05"
131,"41","Teoría de la navegación","¿Cuál de las siguientes afirmaciones es INCORRECTA en relación con los paralelos?","2020","12","05"
132,"42","Carta de navegación","Navegando desde el faro de Punta Tarifa con Rumbo al faro de Punta Cires, sabiendo que el valor de la declinación magnética es 4ºNW y el Desvío 3ºW. ¿Qué Rumbo de aguja llevamos?","2020","12","05"
133,"43","Carta de navegación","Siendo HRB=11:00 obtenemos simultáneamente desde nuestra embarcación una demora de aguja del faro de Isla Tarifa = 276º y otra demora de aguja al faro de Punta Carnero = 022º. ¿Cuál de las siguientes respuestas es la más próxima a nuestra situación teniendo en cuenta que la Corrección Total es de 6º(-)?","2020","12","05"
134,"44","Carta de navegación","Hallar la sonda en el momento de la primera bajamar, el día 26 de septiembre de 2020 en Sancti Petri, con una presión atmosférica de 1008 mb y una sonda en la carta de 6,8 m.","2020","12","05"
135,"45","Carta de navegación","Siendo Hrb=22:05 y estando situados en la oposición del faro de Cabo Espartel y del faro de Cabo Roche y a 22,6 millas de este último faro, ponemos rumbo al faro de Punta Alcázar. Calcular la situación de estima a Hrb=23:35, si navegamos a una velocidad de 4 nudos.","2020","12","05"
136,"1","Nomenclatura náutica","¿Qué es el puntal?","2021","02","01"
137,"2","Nomenclatura náutica","¿Cuál de las siguientes afirmaciones NO es correcta?","2021","02","01"
138,"3","Nomenclatura náutica","¿Qué es la limera?","2021","02","01"
139,"4","Nomenclatura náutica","Cuando el viento incide sobre nuestra embarcación, barlovento es:","2021","02","01"
140,"5","Elementos de amarre y fondeo","El nudo llano se emplea para:","2021","02","01"
141,"6","Elementos de amarre y fondeo","¿Cuál de las siguientes afirmaciones NO es correcta?","2021","02","01"
142,"7","Seguridad","Respecto a su estiba y conservación, las bengalas de mano deben:","2021","02","01"
143,"8","Seguridad","Definición de capear:","2021","02","01"
144,"9","Seguridad","En el caso de hombre al agua, ¿qué ayudas lanzaremos?","2021","02","01"
145,"10","Seguridad","El elemento metálico que tiene como objeto el hacer más visible a la embarcación ante el radar de otras naves se denomina:","2021","02","01"
146,"11","Legislación","En los tramos de costa que no estén balizados como zona de baño, franja que ocupa 200 metros en las playas y 50 metros en el resto de la costa:","2021","02","01"
147,"12","Legislación","Las embarcaciones deportivas en el interior de los puertos y sus canales de acceso:","2021","02","01"
148,"13","Balizamiento","Las marcas laterales de babor de la región A:","2021","02","01"
149,"14","Balizamiento","Podemos distinguir las marcas de peligro aislado de las demás porque son:","2021","02","01"
150,"15","Balizamiento","La marca de tope de una marca de aguas navegables será:","2021","02","01"
151,"16","Balizamiento","La marca cardinal Este se caracteriza por tener:","2021","02","01"
152,"17","Balizamiento","La marca de tope de una marca especial será:","2021","02","01"
153,"18","Reglamento (RIPA)","Respecto de los buques dedicados a la pesca en flotilla, la Regla 1 del RIPA establece que no se impedirá que el Gobierno de cualquier Estado pueda aplicar reglas especiales en cuanto a utilizar:","2021","02","01"
154,"19","Reglamento (RIPA)","Según la Regla 23 del RIPA, los aerodeslizadores, cuando operen en la condición sin desplazamiento, exhibirán:","2021","02","01"
155,"20","Reglamento (RIPA)","La Regla 35 del RIPA determina que un buque sin gobierno o con su capacidad de maniobra restringida, un buque restringido por su calado, un buque de vela, un buque dedicado a la pesca y todo buque dedicado a remolcar o a empujar a otro buque, en las proximidades o dentro de una zona de visibilidad reducida, ya sea de día o de noche, emitirá las siguientes señales:","2021","02","01"
156,"21","Reglamento (RIPA)","Según la Regla 12.a.i) del RIPA, cuando dos buques de vela que se encuentren a la vista se aproximen uno al otro con riesgo de abordaje, y cada uno de ellos reciba el viento por bandas contrarias, el que lo reciba por estribor:","2021","02","01"
157,"22","Reglamento (RIPA)","En caso de peligro y de que necesitemos ayuda:","2021","02","01"
158,"23","Reglamento (RIPA)","Un buque de navegación fluvial (no marítima) se encuentra navegando por un lago. En general, y de acuerdo con la Regla 1 del RIPA, de dicho buque podemos afirmar que:","2021","02","01"
159,"24","Reglamento (RIPA)","Según el anexo IV del RIPA, ¿cuál de estas señales debería utilizar una embarcación propulsada a vela en caso de peligro?","2021","02","01"
160,"25","Reglamento (RIPA)","La Regla 27 del RIPA determina que un buque sin gobierno ni arrancada exhibirá:","2021","02","01"
161,"26","Reglamento (RIPA)","Según la Regla 6 del RIPA, todo buque navegará en todo momento a una velocidad de seguridad tal que:","2021","02","01"
162,"27","Reglamento (RIPA)","La Regla 26 c) del RIPA establece que un buque dedicado a la pesca, que no sea de arrastre, exhibirá:","2021","02","01"
163,"28","Maniobra y navegación","Con una hélice dextrógira, queriendo ciabogar a estribor, meteremos inicialmente el timón:","2021","02","01"
164,"29","Maniobra y navegación","Recoger por medio de vueltas un cabo o cable, se conoce como:","2021","02","01"
165,"30","Emergencias en la mar","El tetraedro del fuego NO tiene como factor:","2021","02","01"
166,"31","Emergencias en la mar","Si tras un abordaje los dos barcos quedan unidos:","2021","02","01"
167,"32","Emergencias en la mar","¿Cuándo abandonaremos la embarcación?","2021","02","01"
168,"33","Meteorología","En el Hemisferio Norte, ¿cuál es la trayectoria de las borrascas?","2021","02","01"
169,"34","Meteorología","Virazón es:","2021","02","01"
170,"35","Meteorología","Cuál de las siguientes afirmaciones NO es correcta :","2021","02","01"
171,"36","Meteorología","El viento rola cuando:","2021","02","01"
172,"37","Teoría de la navegación","En relación a las cartas de navegación costera, ¿qué es un cartucho?","2021","02","01"
173,"38","Teoría de la navegación","Cuando decimos que el viento es NE, quiere decir:","2021","02","01"
174,"39","Teoría de la navegación","¿Qué significa la abreviatura (Co) que muestra la carta náutica respecto al tipo de fondo?","2021","02","01"
175,"40","Teoría de la navegación","¿Cuál de los siguientes elementos es una parte de la aguja náutica?","2021","02","01"
176,"41","Teoría de la navegación","¿Es posible actualizar la declinación magnética?","2021","02","01"
177,"42","Carta de navegación","De las siguientes coordenadas, ¿cuál es la que más se aproxima a la marca cardinal Este situada al sur de Barbate?","2021","02","01"
178,"43","Carta de navegación","¿Cuál es la distancia entre los faros de Punta Paloma y Punta Malabata?","2021","02","01"
179,"44","Carta de navegación","Nos encontramos en la oposición entre el faro de Punta Europa con el faro de Punta Carnero, viendo por nuestra aleta de estribor Gibraltar, obtenemos una Demora de aguja al faro de Punta Carnero = 255º, ¿Cuál será la corrección total más aproximada de las siguientes respuestas?","2021","02","01"
180,"45","Carta de navegación","Año 2021, una embarcación de motor situada a 1,5 millas al sureste del faro de Isla de Tarifa navega hacia el noreste buscando recalar en la bahía de Algeciras, su rumbo verdadero es paralelo al dispositivo de separación de tráfico del Estrecho de Gibraltar en sentido Noreste, que tiene por su costado de estribor. Sabiendo que la carta náutica empleada es del año 2005 y el desvío para el rumbo actual es de 1º Oeste, ¿cuál de los siguientes rumbos de aguja se aproxima más al que lleva la embarcación en ese momento?","2021","02","01"
181,"1","Nomenclatura náutica","Si una embarcación tiene asiento negativo:","2021","02","05"
182,"2","Nomenclatura náutica","A la acción de largar cadena para fondear la embarcación, se la denomina también:","2021","02","05"
183,"3","Nomenclatura náutica","¿Cuál de las siguientes afirmaciones es CORRECTA?","2021","02","05"
184,"4","Nomenclatura náutica","¿Cuál de las siguientes afirmaciones NO es CORRECTA?","2021","02","05"
185,"5","Elementos de amarre y fondeo","¿Cuál de los siguientes aspectos NO influirá en la elección del lugar de fondeo?","2021","02","05"
186,"6","Elementos de amarre y fondeo","Una roldana es un elemento:","2021","02","05"
187,"7","Seguridad","Medida a tomar en caso de hipotermia:","2021","02","05"
188,"8","Seguridad","El reflector radar:","2021","02","05"
189,"9","Seguridad","Cuando tomemos remolque, ¿cómo lo amarraremos?","2021","02","05"
190,"10","Seguridad","Las aguas someras son:","2021","02","05"
191,"11","Legislación","De conformidad con la Regala 33.1 del Capítulo V del Convenio Internacional SOLAS, el capitán de un buque que, estando en el mar, reciba una señal que le indique que hay personas en peligro en el mar:","2021","02","05"
192,"12","Legislación","En los tramos de costa que no estén balizados como zona de baño:","2021","02","05"
193,"13","Balizamiento","Los colores de la marca cardinal Norte son:","2021","02","05"
194,"14","Balizamiento","Las marcas de peligro aislado se colocan:","2021","02","05"
195,"15","Balizamiento","La marca de tope de una marca de aguas navegables será de color:","2021","02","05"
196,"16","Balizamiento","La forma de las marcas laterales en la región A puede ser:","2021","02","05"
197,"17","Balizamiento","Una marca especial será de color:","2021","02","05"
198,"18","Reglamento (RIPA)","Estando a bordo de nuestra embarcación necesitamos pedir ayuda, ¿cuál de las siguientes señales sería correcta de acuerdo con el anexo IV de señales de peligro del RIPA?","2021","02","05"
199,"19","Reglamento (RIPA)","Según la Regla 18.b del RIPA, los buques de vela, en navegación, se mantendrán apartados de la derrota de:","2021","02","05"
200,"20","Reglamento (RIPA)","Si se debe navegar a lo largo de un paso o canal angosto, siempre que se pueda hacer sin que entrañe peligro, ¿cómo se debe hacer, según la Regla 9.a del RIPA?","2021","02","05"
201,"21","Reglamento (RIPA)","La Regla 3 del RIPA define a un buque restringido por su calado como:","2021","02","05"
202,"22","Reglamento (RIPA)","Según establece la Regla 14.c del RIPA, cuando un buque abrigue dudas de si existe una situación de vuelta encontrada:","2021","02","05"
203,"23","Reglamento (RIPA)","La Regla 27.a del RIPA determina que un buque sin gobierno ni arrancada exhibirá:","2021","02","05"
204,"24","Reglamento (RIPA)","Según la Regla 24.e del RIPA, todo buque u objeto remolcado, que sea visible y no esté parcialmente sumergido, exhibirá:","2021","02","05"
205,"25","Reglamento (RIPA)","Encontrándonos en navegación, se nos hace de noche y la tripulación a bordo de la embarcación deseamos descansar. Para ello, paramos el motor y encendemos una luz advirtiendo de nuestra presencia, tras lo cual nos ponemos todos a echar una cabezada. ¿Es correcto este proceder?","2021","02","05"
206,"26","Reglamento (RIPA)","Según la Regla 30 del RIPA determina que un buque fondeado exhibirá en el lugar más visible:","2021","02","05"
207,"27","Reglamento (RIPA)","La Regla 35 del RIPA determina que un buque sin gobierno o con su capacidad de manobra restringida, un buque restringido por su calado, un buque de vela, un buque dedicado a la pesca y todo buque dedicado a remolcar o a empujar a otro buque, en las proximidades o dentro de una zona de visibilidad reducida, ya sea de día o de noche, emitirá las siguientes señales:","2021","02","05"
208,"28","Maniobra y navegación","Nos abarloamos a otra embarcación si:","2021","02","05"
209,"29","Maniobra y navegación","Si se amarra una embarcación de costado al muelle, ¿cuál de los siguientes cabos se da por el costado opuesto al muelle, y es muy útil para ayudar a desatracar?","2021","02","05"
210,"30","Emergencias en la mar","Si necesitamos una consulta médica mientras estamos navegando, debemos contactar con:","2021","02","05"
211,"31","Emergencias en la mar","Según la clasificación UNE de los incendios, ¿cuál de estas afirmaciones es correcta?","2021","02","05"
212,"32","Emergencias en la mar","Ante la certeza de una vía de agua, ¿cuál de las siguientes actuaciones NO es CORRECTA?","2021","02","05"
213,"33","Meteorología","¿Qué significa “rolar”?","2021","02","05"
214,"34","Meteorología","La intensidad del viento:","2021","02","05"
215,"35","Meteorología","¿Cómo es la trayectoria de las borrascas en el Hemisferio Norte?","2021","02","05"
216,"36","Meteorología","¿Qué nos indica una subida brusca y rápida en la presión indicada por el barómetro aneroide?","2021","02","05"
217,"37","Teoría de la navegación","La corrección total es:","2021","02","05"
218,"38","Teoría de la navegación","En función del meridiano que consideremos para medir el rumbo, ¿qué tres clases de rumbo existen?","2021","02","05"
219,"39","Teoría de la navegación","La conversión del rumbo S60E a rumbo circular es:","2021","02","05"
