id,question_id,answer_id,answer_text
87,22,"C","Dos destellos."
88,22,"D","Un destello a intervalos regulares."
89,23,"A","De forma perpendicular a la dirección general de la corriente del tráfico, en la medida de lo posible."
90,23,"B","Con el menor ángulo posible en relación con la dirección general de la corriente del tráfico."
91,23,"C","No está permitido en ningún caso cruzar una vía de circulación."
92,23,"D","No está previsto, aunque avisaremos usando señales acústicas de nuestras intenciones."
93,24,"A","Los buques de propulsión mecánica de eslora inferior a siete metros y cuya velocidad máxima no sea superior a siete nudos."
94,24,"B","Los buques de propulsión mecánica de eslora inferior a nueve metros y cuya velocidad máxima no sea superior a nueve nudos."
95,24,"C","Los buques de propulsión mecánica de eslora inferior a quince metros y cuya velocidad máxima no sea superior a doce nudos."
96,24,"D","Los buques de propulsión mecánica de eslora inferior a doce metros."
97,25,"A","Cuando dos buques de propulsión mecánica naveguen de vuelta encontrada a rumbos opuestos o casi opuestos, con riesgo de abordaje, cada uno de ellos caerá a estribor de forma que pase por la banda de babor del otro."
98,25,"B","Cuando un buque abrigue dudas de si existe tal situación, supondrá que existe y parará máquinas para obligar al otro buque a maniobrar."
99,25,"C","Cuando un buque abrigue dudas de si existe tal situación, supondrá que existe, reducirá máquina y caerá siempre a babor."
100,25,"D","Cuando dos buques de propulsión mecánica naveguen de vuelta encontrada a rumbos opuestos o casi opuestos, con riesgo de abordaje, cada uno de ellos caerá a la banda contraria a la que caiga el otro."
101,26,"A","La conducta de los buques en condiciones de visibilidad reducida es de aplicación a los buques que están a la vista uno del otro cuando naveguen cerca o dentro de una zona de visibilidad reducida."
102,26,"B","La conducta de los buques en condiciones de visibilidad reducida es de aplicación a los buques que están a la vista uno del otro cuando naveguen dentro de una zona de visibilidad reducida."
103,26,"C","La velocidad de seguridad de un buque permanece inalterable a lo largo del tiempo."
104,26,"D","En situaciones de visibilidad reducida y cuando haya riesgo de abordaje, todo buque que oiga, al parecer a proa de su través, la señal de niebla de otro buque, deberá reducir su velocidad hasta la mínima de gobierno."
105,27,"A","Dos pitadas largas consecutivas separadas por un intervalo de unos dos segundos entre ambas, a intervalos que no excederán de un minuto."
106,27,"B","Tres pitadas largas consecutivas separadas por un intervalo de unos dos segundos, a intervalos que no excedan de dos minutos."
107,27,"C","Dos pitadas largas consecutivas separadas por un intervalo de unos dos segundos entre ambas, a intervalos que no excedan de dos minutos."
108,27,"D","Tres pitadas largas consecutivas separadas por un intervalo de unos dos segundos, a intervalos que no excedan de dos minutos. Maniobra y navegación."
109,28,"A","Codera, largo, esprín y través."
110,28,"B","Codaste, través, esprín y codera."
111,28,"C","Codaste, esprín, largo y codera."
112,28,"D","Codera, través, esprín y boza."
113,29,"A","Realizar la aproximación proa al viento y a la boya, con poca arrancada, hasta quedar parados a una distancia mínima de la boya y a barlovento de ella."
114,29,"B","Realizar la aproximación con una ligera arrancada atrás, hasta quedar parados a una distancia mínima de la boya y a sotavento de ella."
115,29,"C","Utilizar preferentemente las cornamusas de amarre situadas en la popa de la embarcación."
116,29,"D","No amarrar por seno. Emergencias en la mar."
117,30,"A","De 09:00 a 15:00."
118,30,"B","De 09:00 a 18:00."
119,30,"C","De 10:00 a 19:00."
120,30,"D","No hay ninguna recomendación."
121,31,"A","La investigación de la gravedad de las averías sufridas en las embarcaciones."
122,31,"B","La comunicación del abordaje al centro de coordinación de salvamento."
123,31,"C","El cierre de los compartimentos estancos de las embarcaciones."
124,31,"D","La separación de las embarcaciones sin evaluar las averías sufridas."
125,32,"A","Una contusión."
126,32,"B","Una hemorragia, que a su vez puede ser interna o externa."
127,32,"C","Una laceración."
128,32,"D","Un traumatismo. Meteorología"
129,33,"A","El viento generado por el avance de la embarcación."
130,33,"B","La suma vectorial del viento real y el viento generado por el avance de la embarcación."
131,33,"C","El viento que existe en un momento dado, si la embarcación estuviese parada."
132,33,"D","El viento que marca la escala Beaufort."
133,34,"A","Son regiones donde la presión atmosférica es más baja que la del aire circundante."
134,34,"B","El aire fluye hacia el interior de las borrascas y asciende desde allí, lo que produce formación de nubosidad y precipitaciones."
135,34,"C","Las borrascas o depresiones también se conocen como ciclones, bajas presiones o, simplemente, bajas."
136,34,"D","La presión más alta se localiza siempre en el centro."
137,35,"A","Es el nombre del viento cuando tiene justo la intensidad necesaria para generar la formación de olas."
138,35,"B","Es el número de horas que el viento ha soplado en la misma dirección y con la misma intensidad."
139,35,"C","Es la presión que el viento ejerce sobre la mar."
140,35,"D","Es la extensión rectilínea donde el viento sopla en la misma dirección y con la misma intensidad."
141,36,"A","HF."
142,36,"B","El Canal 10 del Inmarsat meteorológico."
143,36,"C","El Canal 16 de VHF."
144,36,"D","El Canal de trabajo que se haya preestablecido, antes de partir, con el centro costero de salvamento. Teoría de la navegación."
145,37,"A","De 0 a 180º por estribor signo (-) y de 0 a 180º por babor signo +."
146,37,"B","De 0 a 360º signo (-)."
147,37,"C","De 0 a 180º por estribor signo + y de 0 a 180º por babor signo (-)."
148,37,"D","Por cuadrantes."
149,38,"A","GPS."
150,38,"B","RADAR."
151,38,"C","Corredera."
152,38,"D","Cables."
153,39,"A","Periodo, fase y color."
154,39,"B","Periodo, altura y color."
155,39,"C","Amplitud, altura y color."
156,39,"D","Fase, altura e intensidad lumínica."
157,40,"A","Es necesario convertir las demoras en marcaciones verdaderas para poder trazarlas en la carta."
158,40,"B","Es necesario convertir las marcaciones en demoras verdaderas para trazarlas en la carta."
159,40,"C","Puedo trazar en la carta las marcaciones siempre que sean a babor."
160,40,"D","Es necesario aplicar la formula R=D+M para transformar la marcación en demora."
161,41,"A","En el certificado de navegabilidad de la embarcación."
162,41,"B","En el manual de instalación de la aguja náutica."
163,41,"C","En el certificado de compensación de agujas náuticas."
164,41,"D","En los libros de faros. Carta de navegación."
165,42,"A","l = 35º 53,9´N L = 005º 34,7´W."
166,42,"B","l = 35º 54,1´N L = 005º 35,8´W."
167,42,"C","l = 35º 54,5´N L = 005º 36,4´W."
168,42,"D","l = 35º 53,8´N L = 005º 35,4´W."
169,43,"A","l=35º 52,2´N L=006º 09,7´W."
170,43,"B","l=35º 54,5´N L=006º 10´W."
171,43,"C","l=35º 53,1´N L=006º 09,7´W."
172,43,"D","l=35º 51,4´N L=006º 08,6´W."
173,44,"A","l = 35º 49,1´N L = 006º 16,7´W."
174,44,"B","l = 36º 46,0´N L = 005º 15,8´W."
175,44,"C","l = 35º 46,0´N L = 005º 16,6´W."
176,44,"D","l = 35º 45,2´N L = 005º 15,8´W."
177,45,"A","Ra = 325°."
178,45,"B","Ra = 331°."
179,45,"C","Ra = 327°."
180,45,"D","Ra = 329°."
181,46,"A","Una."
182,46,"B","Cuatro."
183,46,"C","Tres."
184,46,"D","Dos."
185,47,"A","Conectadas con alarmas para proteger la embarcación de posibles robos en puerto."
186,47,"B","Por todo el casco de la embarcación para protegerlo contra posibles colisiones."
187,47,"C","Provisionalmente entre el costado del barco y el muelle para evitar posibles rozamientos o golpes."
188,47,"D","Sobre los portillos para aislarlos del agua de lluvia."
189,48,"A","Limera."
190,48,"B","Núcleo."
191,48,"C","Mecha."
192,48,"D","Rueda."
193,49,"A","Los cables por los que se transmite a la pala del timón el giro de la hélice."
194,49,"B","Parte de los costados entre el través y la proa para evitar caídas por la borda."
195,49,"C","Los cables por los que se transmite a la pala del timón el giro de la rueda."
196,49,"D","Barandillas que sirven para asirse o de protección. Elementos de amarre y fondeo."
197,50,"A","Para hacer firme cualquier jarcia de labor."
198,50,"B","Para afirmar un remolque en mar abierto."
199,50,"C","Para abrir y cerrar las escotillas."
200,50,"D","Para poder pescar al curricán ó palangre."
201,51,"A","Tres veces la longitud de la sonda."
202,51,"B","Cuatro veces la longitud de la sonda."
203,51,"C","Cinco veces la longitud de la sonda."
204,51,"D","Seis veces la longitud de la sonda. Seguridad."
205,52,"A","Amarillo."
206,52,"B","Un color muy visible independientemente del mismo."
207,52,"C","Rojo."
208,52,"D","Naranja."
209,53,"A","Es el periodo de oscilación natural de una embarcación en sentido longitudinal."
210,53,"B","No se ve afectado por el estado de la mar."
211,53,"C","Tiene un valor mucho menor que el periodo de balance."
212,53,"D","Depende de cada embarcación."
213,54,"A","Mejora con la elevación de pesos."
214,54,"B","Se ve perjudicada con la elevación de pesos."
215,54,"C","No se ve afectada por el movimiento vertical de pesos."
216,54,"D","Depende del oleaje."
217,55,"A","Curvatura longitudinal de la cubierta de manera que las extremidades de proa y popa queden más altas que el centro."
218,55,"B","Movimiento del buque inclinándose alternativamente hacia uno u otro de sus costados."
219,55,"C","Movimiento de deriva."
220,55,"D","Movimiento del buque levantando y bajando alternativamente la proa. Legislación."
221,56,"A","Con carácter solidario, los sujetos responsables de la infracción por contaminación."
222,56,"B","Sólo el patrón que hubiera cometido la infracción."
223,56,"C","El propietario de la embarcación y subsidiariamente el patrón, si fuera distinto de aquel."
224,56,"D","La Administración Marítima es la única obligada a ejecutar las operaciones que pudieran resultar necesarias para la preservación del medio ambiente."
225,57,"A","Trimestralmente."
226,57,"B","Semestralmente."
227,57,"C","Anualmente."
228,57,"D","Cada vez que entren en puerto. Balizamiento."
229,58,"A","Rojas con una o varias bandas anchas horizontales verdes."
230,58,"B","Marcas colocadas o fondeadas sobre un peligro a cuyo alrededor las aguas son navegables."
231,58,"C","Marcas colocadas o fondeadas sobre aguas navegables a cuyo alrededor existe un peligro."
232,58,"D","Negras con una o varias bandas anchas horizontales verdes."
233,59,"A","Siempre de espeque."
234,59,"B","De libre elección, pero que no se preste a confusión con otras marcas de ayudas a la navegación."
235,59,"C","Siempre esférica."
236,59,"D","Siempre de castillete."
237,60,"A","Negro con ancha banda horizontal amarilla."
238,60,"B","Amarillo con una ancha banda horizontal negra."
239,60,"C","Amarillo sobre negro."
240,60,"D","Negro sobre amarillo."
241,61,"A","Amarillo sobre negro."
242,61,"B","Amarillo."
243,61,"C","Negro sobre amarillo."
244,61,"D","Negro con una ancha banda horizontal amarilla."
245,62,"A","No puede emplearse una marca lateral modificada."
246,62,"B","Puede utilizarse una marca lateral sin modificar."
247,62,"C","Puede utilizarse una marca lateral modificada."
248,62,"D","No existe marca que lo indique. Reglamento (RIPA)."
249,63,"A","Ninguna disposición del RIPA eximirá al Capitán de un buque de las consecuencias de negligencias en observar cualquier precaución que pudiera exigir la práctica normal del marino o las circunstancias especiales del caso."
250,63,"B","Si, el cumplimiento de la Ley es la mejor salvaguarda para la Seguridad Marítima."
251,63,"C","La Regla 2 del RIPA exime al Capitán de cualquier responsabilidad inherente a un abordaje siempre que se demuestre que no se ha apartado de su cumplimiento."
252,63,"D","La Regla 2 del RIPA exime al Capitán únicamente en el caso de que la decisión equivocada haya sido de buena fe y con la intención de evitar un peligro inmediato."
253,64,"A","Únicamente en condiciones de buena visibilidad."
254,64,"B","Únicamente en condiciones de visibilidad reducida."
255,64,"C","En cualquier condición de visibilidad."
256,64,"D","A todos los buques, excepto a aquellos que realizan navegación en solitario."
257,65,"A","En cualquier caso porque tiene preferencia de paso."
258,65,"B","Salvo que se encuentre tan próximo al otro que no pueda evitarse el abordaje por la sola maniobra del buque que cede el paso, en cuyo caso ejecutará la maniobra que mejor pueda ayudar a evitar el abordaje."
259,65,"C","Dependerá de las obligaciones existentes entre las distintas categorías de buques."
260,65,"D","Si existe riesgo evidente de abordaje sólo podrá cambiar de rumbo a babor o estribor, según el criterio del piloto."
261,66,"A","Cuando un buque se encuentra en zona de visibilidad reducida."
262,66,"B","Cuando un buque presenta algún tipo de limitación en su maniobra."
263,66,"C","Cuando se quiere llamar la atención de otro buque."
264,66,"D","Cuando un buque esté en peligro y requiera ayuda."
265,67,"A","Todo buque navegando a vela siempre que su maquinaria propulsora, caso de llevarla, no se esté utilizando."
266,67,"B","Todo buque que cuente al menos con una vela cuadra, marconi, cangreja o latina."
267,67,"C","Todo buque navegando a vela independientemente de si se está utilizando o no su maquinaria propulsora."
268,67,"D","Todo buque navegando a vela que cuente con un motor fueraborda."
269,68,"A","Se mantendrán lo más cerca posible del límite exterior del paso o canal que quede por su costado de estribor, siempre que puedan hacerlo sin que ello entrañe peligro."
270,68,"B","Se mantendrán lo más cerca posible del límite interior o exterior del paso o canal, en función de su maniobrabilidad."
271,68,"C","Se mantendrán lo más cerca posible del límite exterior del paso o canal que quede por su costado de babor."
272,68,"D","Se mantendrán lo más cerca posible del límite interior del paso o canal."
273,69,"A","Cruce."
274,69,"B","Alcance."
275,69,"C","Vuelta encontrada."
276,69,"D","Paso por el través de estribor."
277,70,"A","Un disparo de cañón."
278,70,"B","Cohetes de color rojo."
279,70,"C","Una llamada por teléfono móvil al 112."
280,70,"D","Una alerta de socorro mediante llamada selectiva digital."
281,71,"A","Tan sólo los buques dedicados a la pesca."
282,71,"B","Los buques de vela exclusivamente."
283,71,"C","Ningún buque bajo ninguna circunstancia."
284,71,"D","Los buques de eslora inferior a 20 metros, los buques de vela y los buques de pesca."
285,72,"A","Visible sin interrupción en un arco de horizonte de 360 grados."
286,72,"B","Visible sin interrupción en un arco de horizonte de 180 grados, visto desde la popa."
287,72,"C","Visible sin interrupción en un arco de horizonte de 90 grados a cada banda."
288,72,"D","Visible sin interrupción en un arco de horizonte de 180 grados, visto desde proa. Maniobra y navegación."
289,73,"A","La proa."
290,73,"B","La popa."
291,73,"C","El centro del barco."
292,73,"D","El través."
293,74,"A","Popa al viento y a la corriente."
294,74,"B","Con viento de popa."
295,74,"C","Con viento de estribor."
296,74,"D","Proa al viento y a la corriente. Emergencias en la mar."
297,75,"A","Siempre que se pueda se pueda se empleará el agua para apagar un fuego."
298,75,"B","Nunca se utilizarará un chorro de agua para apagar un fuego de clase B."
299,75,"C","La niebla de agua se puede utilizar para apagar un fuego de clase B."
300,75,"D","Nunca se puede utilizar para apagar incendios de clase C."
301,76,"A","Siempre que se pueda se empleará el agua para apagar un fuego."
302,76,"B","Nunca se utilizará un chorro de agua para apagar un fuego de clase B."
303,76,"C","Se puede utilizar para apagar incendios de clase C."
304,76,"D","La niebla de agua se puede utilizar para apagar un fuego de clase B."
305,77,"A","Clase D."
306,77,"B","Clase C."
307,77,"C","Clase A."
308,77,"D","Clase F. Meteorología"
309,78,"A","Medir la fuerza del viento."
310,78,"B","Medir la persistencia del viento."
311,78,"C","Medir la intensidad del mar."
312,78,"D","Determinar el estado del mar."
313,79,"A","La Organización Hidragráfica Internacional."
314,79,"B","La Agencia Estatal de Meteorología."
315,79,"C","La Organización Internacional del Trabajo."
316,79,"D","Salvamento Marítimo."
317,80,"A","Su definición procede del principio cero de la termodinámica que establece que dos cuerpos en equilibrio térmico con un tercero están en equilibrio térmico entre sí."
318,80,"B","Es una magnitud física que caracteriza el movimiento aleatorio medio de las moléculas de una sustancia e informa del calor o energía térmica de la misma."
319,80,"C","En la escala centígrada el punto de evaporación del agua es la temperatura más alta que se puede medir."
320,80,"D","Para indicar la temperatura de un cuerpo se usan escalas arbitrarias de referencia, entre las que se encuentra la escala Celsius."
321,81,"A","El grado de calor del aire que rodea la superficie de la tierra."
322,81,"B","La cantidad de calor que varía por los cambios de presión."
323,81,"C","El grado de calor de la tierra a nivel del mar."
324,81,"D","La variación que expresa una medida de la cantidad de energía absorbida o cedida por un sistema termodinámico. Teoría de la navegación."
325,82,"A","Hora del buque."
326,82,"B","Hora oficial."
327,82,"C","Hora legal."
328,82,"D","Hora del reloj de bitácora."
329,83,"A","La oposición es una línea de posición en la cual observamos dos puntos reconocibles en la carta y separados por un ángulo de 180º."
330,83,"B","Cuanto más alejados estén los objetos alineados más fiable será la enfilación."
331,83,"C","Las líneas isobáticas son isolíneas que se trazan siguiendo puntos de la misma presión en mm de hg."
332,83,"D","Podemos usar el radar como ayuda a la navegación para trazar líneas de posición más fiables."
333,84,"A","El rumbo verdadero y el rumbo efectivo."
334,84,"B","El rumbo verdadero y el rumbo de superficie."
335,84,"C","El rumbo verdadero y el rumbo de corriente."
336,84,"D","El rumbo verdadero y el rumbo eficaz."
337,85,"A","Sí es posible, para ello utilizaremos los datos que nos ofrece la carta náutica que utilicemos y calcularemos la declinación para el año en curso."
338,85,"B","No es posible, es invariable."
339,85,"C","Sí es posible, si la carta no tiene más de diez años de antigüedad y compramos una actualización de la carta de navegación."
340,85,"D","Es posible si la carta no tiene más de 5 años de antigüedad."
341,86,"A","El año en curso para la actualización."
342,86,"B","La declinación magnética en la carta."
343,86,"C","La variación anual."
344,86,"D","El desvío de la aguja. Carta de navegación."
345,87,"A","Rºa= 018º."
346,87,"B","Rºa=015º."
347,87,"C","Rºa= 017º."
348,87,"D","Rºa= 019º."
349,88,"A","l = 35º 49,2´N L = 005º 45,7´W."
350,88,"B","l = 35º 49,6´N L = 005º 46,5´W."
351,88,"C","l = 35º 49,1´N L = 005º 49,4´W."
352,88,"D","l = 35º 48,6´N L = 005º 49,9´W."
353,89,"A","l = 35º 49,1´N L = 006º 16,7´W."
354,89,"B","l = 36º 46,0´N L = 005º 15,8´W."
355,89,"C","l = 35º 46,0´N L = 005º 16,6´W."
356,89,"D","l = 35º 45,2´N L = 005º 15,8´W."
357,90,"A","l=35º 53,7' N L= 005º 39,6' W."
358,90,"B","l= 35º 54,2' N L= 005º 42,4' W."
359,90,"C","l=35º 53,4' N L= 005º 43,2' W."
360,90,"D","l= 35º 54,0' N L= 005º 41,0' W."
361,91,"A","La hemos sacado de su estiba y la dejamos colgando, ya dentro del agua, lista para ser fondeada."
362,91,"B","La hemos sacado de su estiba y la dejamos colgando del escoben, lista para ser fondeada."
363,91,"C","Tras el fondeo, viramos cadena y el ancla deja de tocar el fondo, quedando colgada ."
364,91,"D","Sale a la superficie tras el fondeo y hay que seguir recogiendo con cuidado para que el ancla no golpee el casco."
365,92,"A","Deben permanecer abiertos en todo momento."
366,92,"B","Se utilizan para dar o cortar el paso de agua de mar empleada para la refrigeración del motor, aseos, cocinas u otros servicios."
367,92,"C","No requieren mantenimiento."
368,92,"D","Están situados por encima de la línea de flotación."
369,93,"A","La pala, la mecha, los guardines y el timón."
370,93,"B","La pala, la cofa, los obenques y la mecha."
371,93,"C","La mecha, la rueda, la bocina y el bao."
372,93,"D","La pala, la mecha, los guardines y el arganeo."
373,94,"A","Eje de la hélice."
374,94,"B","Nucleo de la hélice."
375,94,"C","Timón."
376,94,"D","Pala de la hélice. Elementos de amarre y fondeo."
377,95,"A","Es el extremo, remate o punta de un cabo."
378,95,"B","Es un lazo que se forma en el extremo de un cabo doblándolo y uniéndolo con costura o ligada"
379,95,"C","Es la característica de un cabo que determina su grosor, siendo realmente la longitud de la circunferencia de un cabo"
380,95,"D","Es un nudo marinero que se forma con dos vueltas de cabo dadas de manera que los extremos quedan cruzados"
381,96,"A","Para hacer firme cualquier jarcia de labor."
382,96,"B","Para afirmar un remolque en mar abierto."
383,96,"C","Para abrir y cerrar las escotillas."
384,96,"D","Para poder pescar al curricán ó palangre. Seguridad."
385,97,"A","Trasladar al afectado horizontalmente."
386,97,"B","No darle a beber alcohol."
387,97,"C","Quitar toda la ropa mojada, secar y frotar las extremidades del afectado para activar la circulación sanguínea."
388,97,"D","Abrigarlo a resguardo del viento."
389,98,"A","Ninguno, podríamos dañar al náufrago."
390,98,"B","Únicamente un aro salvavidas."
391,98,"C","Todos los objetos flotantes que encuentre, tales como defensas, chalecos, etc."
392,98,"D","Ninguno, el Convenio MARPOL lo prohíbe."
393,99,"A","Llamada en fonía mediante el equipo de radiocomunicaciones de abordo, en canal 16 de VHF."
394,99,"B","Llamada telefónica al número 900 202 202."
395,99,"C","Llamada telefónica al número de emergencias 112."
396,99,"D","Llamada en fonía mediante el equipo de radiocomunicacinoes a bordo, en canal 70 de VHF (llamada selectiva digital)."
397,100,"A","Meter el timón a la banda. Tras desviarse 60º del rumbo inicial, meter el timón a la banda opuesta. Cuando el buque haya puesto proa a 20º del rumbo contrario, meter el timón a la vía y hacer girar al buque hacia el rumbo contrario."
398,100,"B","Meter el timón a la banda. Tras desviarse 250º del rumbo inicial, meter el timón a la vía e iniciar la maniobra de parada."
399,100,"C","Meter el timón a la banda. Tras desviarse 240º del rumbo inicial, meter el timón a la banda opuesta. Cuando el buque haya puesto proa a 20º del rumbo contrario, meter el timón a la vía y hacer girar el buque hacia el rumbo contrario."
400,100,"D","Meter el timón a la banda. Tras desviarse 70º del rumbo inicial, meter el timón a la banda opuesta. Cuando el buque haya puesto proa a 20º del rumbo contrario, meter el timón a la vía y hacer girar al buque hacia el rumbo contrario. Legislación."
401,101,"A","Navegaran a una velocidad de seguridad que según la Regla 6 del RIPA se estima en 3 nudos."
402,101,"B","Evitarán interferir el tráfico normal de los mismos, no debiendo en ningún caso dar ocasión a que los buques que se encuentren navegando se vean obligados a maniobrarles."
403,101,"C","No podrán navegar por el interior de los puertos."
404,101,"D","Sólo están obligadas a navegar a velocidades que no formen olas que puedan producir situaciones peligrosas para embarcaciones de pequeño porte."
405,102,"A","Sobre el titular o propietario de la embarcación."
406,102,"B","Sobre el titular o propietario de la embarcación y su patrón, solidariamente."
407,102,"C","Sobre el patrón de la embarcación."
408,102,"D","Sobre el titular o propietario de la embarcación y su patrón, subsidiariamente. Balizamiento."
409,103,"A","Boyas de color amarillo."
410,103,"B","Boyas de color negro con una o varias bandas horizontales anchas de color rojo."
411,103,"C","Boyas cilindricas de color rojo."
412,103,"D","Boyas de castillete de color negro sobre amarillo."
413,104,"A","Rojo."
414,104,"B","Negro."
415,104,"C","Amarillo."
416,104,"D","Blanco."
417,105,"A","Dos conos negros superpuestos con los vértices hacia arriba."
418,105,"B","Dos esferas negras superpuestas."
419,105,"C","Una esfera roja."
420,105,"D","Un aspa amarilla en forma de ""X""."
421,106,"A","Si tiene, una esfera roja."
422,106,"B","Dos esferas negras superpuestas."
423,106,"C","Si tiene, una esfera negra."
424,106,"D","Dos esferas rojas superpuestas."
425,107,"A","Canal principal a babor: Rojo con una banda ancha horizontal amarilla y con forma cilíndrica, de castillete o espeque."
426,107,"B","Canal principal a estribor: Verde con una banda ancha horizontal roja y con forma cilíndrica, de castillete o espeque."
